
---------- Begin Simulation Statistics ----------
simSeconds                                   0.305733                       # Number of seconds simulated (Second)
simTicks                                 305733315500                       # Number of ticks simulated (Tick)
finalTick                                305733315500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7360.55                       # Real time elapsed on the host (Second)
hostTickRate                                 41536735                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649152                       # Number of bytes of host memory used (Byte)
simInsts                                    735703330                       # Number of instructions simulated (Count)
simOps                                      830131201                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99952                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112781                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        611466632                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1724510042                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1344754497                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11900778                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            894379014                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2184000635                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           611412780                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.199422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.436264                       # Number of insts issued each cycle (Count)
system.cpu.StoreSet__3.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__3.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__3.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__3.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__3.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__3.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.branchPred.lookups               112599663                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted         108823280                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1068676                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups            104819919                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits               104817414                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999976                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 1545989                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  3                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            3790                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits               2484                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1306                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          137                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts       894378907                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              85                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           1068145                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    552200910                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.503314                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.387804                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       366669007     66.40%     66.40% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        50836055      9.21%     75.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        32126518      5.82%     81.43% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3        10703293      1.94%     83.36% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4        10308483      1.87%     85.23% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5        50811645      9.20%     94.43% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6         2989553      0.54%     94.97% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7         3339113      0.60%     95.58% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          873137      0.16%     95.74% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::9         1267088      0.23%     95.97% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::10        1702409      0.31%     96.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::11       11026207      2.00%     98.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::12         186073      0.03%     98.30% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::13        1213207      0.22%     98.52% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::14            820      0.00%     98.52% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::15          88036      0.02%     98.54% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::16         588565      0.11%     98.65% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::17        2242078      0.41%     99.05% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::18          29283      0.01%     99.06% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::19          20996      0.00%     99.06% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::20         359561      0.07%     99.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::21         214751      0.04%     99.17% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::22         180407      0.03%     99.20% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::23          27944      0.01%     99.20% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::24        4396681      0.80%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value           24                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    552200910                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            735703592                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              830131463                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                   363430743                       # Number of memory references committed (Count)
system.cpu.commit.loads                     231578359                       # Number of loads committed (Count)
system.cpu.commit.amos                             28                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          34                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   36926993                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions        588652126                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   571399831                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               1493808                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass           90      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    235829618     28.41%     28.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        93705      0.01%     28.42% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           10      0.00%     28.42% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd     69499564      8.37%     36.79% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      1492614      0.18%     36.97% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt      1589702      0.19%     37.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult     70245864      8.46%     45.63% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     80600832      9.71%     55.33% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv      1496199      0.18%     55.52% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc      5751643      0.69%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd           65      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu           76      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp          125      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            2      0.00%     56.21% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc       100611      0.01%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     56.22% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead    231578359     27.90%     84.12% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite    131852384     15.88%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total    830131463                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples       4396681                       # number cycles where commit BW limit reached (Cycle)
system.cpu.dcache.demandHits::cpu.data      565100260                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total         565100260                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data     565100260                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total        565100260                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data         7327                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total            7327                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data         7327                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total           7327                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data    367202221                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total    367202221                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data    367202221                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total    367202221                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data    565107587                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total     565107587                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data    565107587                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total    565107587                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.000013                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.000013                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.000013                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.000013                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 50116.312406                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.demandAvgMissLatency::total 50116.312406                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 50116.312406                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::total 50116.312406                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.blockedCycles::no_mshrs        23016                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets          166                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs         1023                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets            7                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs      22.498534                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets    23.714286                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks          355                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total               355                       # number of writebacks (Count)
system.cpu.dcache.demandMshrHits::cpu.data         5716                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.demandMshrHits::total          5716                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.overallMshrHits::cpu.data         5716                       # number of overall MSHR hits (Count)
system.cpu.dcache.overallMshrHits::total         5716                       # number of overall MSHR hits (Count)
system.cpu.dcache.demandMshrMisses::cpu.data         1611                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.demandMshrMisses::total         1611                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::cpu.data         1611                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::total         1611                       # number of overall MSHR misses (Count)
system.cpu.dcache.demandMshrMissLatency::cpu.data     83853748                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissLatency::total     83853748                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::cpu.data     83853748                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::total     83853748                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissRate::cpu.data     0.000003                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.demandMshrMissRate::total     0.000003                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::cpu.data     0.000003                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::total     0.000003                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.demandAvgMshrMissLatency::cpu.data 52050.743637                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.demandAvgMshrMissLatency::total 52050.743637                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::cpu.data 52050.743637                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::total 52050.743637                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.replacements                    596                       # number of replacements (Count)
system.cpu.dcache.LoadLockedReq.hits::cpu.data           10                       # number of LoadLockedReq hits (Count)
system.cpu.dcache.LoadLockedReq.hits::total           10                       # number of LoadLockedReq hits (Count)
system.cpu.dcache.LoadLockedReq.misses::cpu.data            2                       # number of LoadLockedReq misses (Count)
system.cpu.dcache.LoadLockedReq.misses::total            2                       # number of LoadLockedReq misses (Count)
system.cpu.dcache.LoadLockedReq.missLatency::cpu.data       107000                       # number of LoadLockedReq miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.missLatency::total       107000                       # number of LoadLockedReq miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.accesses::cpu.data           12                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu.dcache.LoadLockedReq.accesses::total           12                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu.dcache.LoadLockedReq.missRate::cpu.data     0.166667                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.missRate::total     0.166667                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.avgMissLatency::cpu.data        53500                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.avgMissLatency::total        53500                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.mshrHits::cpu.data            1                       # number of LoadLockedReq MSHR hits (Count)
system.cpu.dcache.LoadLockedReq.mshrHits::total            1                       # number of LoadLockedReq MSHR hits (Count)
system.cpu.dcache.LoadLockedReq.mshrMisses::cpu.data            1                       # number of LoadLockedReq MSHR misses (Count)
system.cpu.dcache.LoadLockedReq.mshrMisses::total            1                       # number of LoadLockedReq MSHR misses (Count)
system.cpu.dcache.LoadLockedReq.mshrMissLatency::cpu.data        78500                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.mshrMissLatency::total        78500                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.mshrMissRate::cpu.data     0.083333                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.mshrMissRate::total     0.083333                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.avgMshrMissLatency::cpu.data        78500                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.avgMshrMissLatency::total        78500                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.hits::cpu.data    433253709                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.hits::total       433253709                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.misses::cpu.data         1456                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.misses::total          1456                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.missLatency::cpu.data     75597500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.missLatency::total     75597500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.accesses::cpu.data    433255165                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.accesses::total    433255165                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.missRate::cpu.data     0.000003                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.missRate::total     0.000003                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMissLatency::cpu.data 51921.359890                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMissLatency::total 51921.359890                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.mshrHits::cpu.data          976                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrHits::total          976                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrMisses::cpu.data          480                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMisses::total          480                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data     31061000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissLatency::total     31061000                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.000001                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.000001                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 64710.416667                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 64710.416667                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.StoreCondReq.hits::cpu.data            4                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.hits::total            4                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.accesses::cpu.data            4                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.StoreCondReq.accesses::total            4                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.hits::cpu.data           26                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.hits::total              26                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.misses::cpu.data            2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.misses::total             2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.missLatency::cpu.data       144500                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.missLatency::total       144500                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.accesses::cpu.data           28                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.accesses::total           28                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.missRate::cpu.data     0.071429                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.missRate::total     0.071429                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMissLatency::cpu.data        72250                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMissLatency::total        72250                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.mshrMisses::cpu.data            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMisses::total            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMissLatency::cpu.data       142500                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissLatency::total       142500                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissRate::cpu.data     0.071429                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.mshrMissRate::total     0.071429                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMshrMissLatency::cpu.data        71250                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMshrMissLatency::total        71250                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.hits::cpu.data          115                       # number of WriteLineReq hits (Count)
system.cpu.dcache.WriteLineReq.hits::total          115                       # number of WriteLineReq hits (Count)
system.cpu.dcache.WriteLineReq.misses::cpu.data          318                       # number of WriteLineReq misses (Count)
system.cpu.dcache.WriteLineReq.misses::total          318                       # number of WriteLineReq misses (Count)
system.cpu.dcache.WriteLineReq.missLatency::cpu.data      3694254                       # number of WriteLineReq miss ticks (Tick)
system.cpu.dcache.WriteLineReq.missLatency::total      3694254                       # number of WriteLineReq miss ticks (Tick)
system.cpu.dcache.WriteLineReq.accesses::cpu.data          433                       # number of WriteLineReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteLineReq.accesses::total          433                       # number of WriteLineReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteLineReq.missRate::cpu.data     0.734411                       # miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.missRate::total     0.734411                       # miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.avgMissLatency::cpu.data 11617.150943                       # average WriteLineReq miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.avgMissLatency::total 11617.150943                       # average WriteLineReq miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.mshrMisses::cpu.data          318                       # number of WriteLineReq MSHR misses (Count)
system.cpu.dcache.WriteLineReq.mshrMisses::total          318                       # number of WriteLineReq MSHR misses (Count)
system.cpu.dcache.WriteLineReq.mshrMissLatency::cpu.data      3376254                       # number of WriteLineReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteLineReq.mshrMissLatency::total      3376254                       # number of WriteLineReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteLineReq.mshrMissRate::cpu.data     0.734411                       # mshr miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.mshrMissRate::total     0.734411                       # mshr miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.avgMshrMissLatency::cpu.data 10617.150943                       # average WriteLineReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.avgMshrMissLatency::total 10617.150943                       # average WriteLineReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data    131846436                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total      131846436                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data         5553                       # number of WriteReq misses (Count)
