Top 100000000 metrics most correlated with CPI change:
-----------------------------------------------------
system.switch_cpus.numCycles   | Correlation: 1.0000 ↑
system.membus.pktSize_system.l2.mem_side_port::system.mem_ctrls.port | Correlation: 0.1105 ↑
system.membus.pktCount_system.l2.mem_side_port::system.mem_ctrls.port | Correlation: 0.1103 ↑
system.membus.pktCount::total  | Correlation: 0.1103 ↑
system.mem_ctrls.wrQLenPdf::44 | Correlation: 0.1090 ↑
system.l2.demandMisses::total  | Correlation: 0.1084 ↑
system.l2.overallMisses::total | Correlation: 0.1084 ↑
system.l2.demandMshrMisses::total | Correlation: 0.1084 ↑
system.l2.overallMshrMisses::total | Correlation: 0.1084 ↑
system.mem_ctrls.dram.numReads::total | Correlation: 0.1084 ↑
system.mem_ctrls.dram.bytesRead::total | Correlation: 0.1084 ↑
system.mem_ctrls.readReqs      | Correlation: 0.1084 ↑
system.mem_ctrls.bytesReadSys  | Correlation: 0.1084 ↑
system.mem_ctrls.readBursts    | Correlation: 0.1084 ↑
system.mem_ctrls.readPktSize::6 | Correlation: 0.1084 ↑
system.mem_ctrls.dram.dramBytesRead | Correlation: 0.1083 ↑
system.mem_ctrls.dram.readBursts | Correlation: 0.1083 ↑
system.mem_ctrls.dram.totBusLat | Correlation: 0.1083 ↑
system.l2.demandMshrMissRate::total | Correlation: 0.1075 ↑
system.l2.overallMshrMissRate::total | Correlation: 0.1075 ↑
system.l2.demandMissRate::total | Correlation: 0.1075 ↑
system.l2.overallMissRate::total | Correlation: 0.1075 ↑
system.membus.snoopFanout::0   | Correlation: 0.1065 ↑
system.membus.snoopFanout::samples | Correlation: 0.1065 ↑
system.membus.snoopFanout::total | Correlation: 0.1065 ↑
system.mem_ctrls.dram.rank1.writeEnergy | Correlation: 0.1059 ↑
system.tol2bus.snoopFanout::max_value | Correlation: 0.1052 ↑
system.switch_cpus.branchPred.predTakenBTBMiss | Correlation: 0.1040 ↑
system.switch_cpus.squashedOperandsExamined | Correlation: 0.1033 ↑
system.membus.transDist::ReadResp | Correlation: 0.1014 ↑
system.membus.transDist::ReadSharedReq | Correlation: 0.1014 ↑
system.mem_ctrls.dram.perBankRdBursts::1 | Correlation: 0.1011 ↑
system.switch_cpus.lsq0.loadToUse::170-179 | Correlation: 0.1002 ↑
system.mem_ctrls.dram.perBankWrBursts::12 | Correlation: 0.0990 ↑
system.mem_ctrls.dram.perBankWrBursts::13 | Correlation: 0.0987 ↑
system.switch_cpus.branchPred.mispredicted_0::DirectCond | Correlation: 0.0971 ↑
system.mem_ctrls.rdQLenPdf::4  | Correlation: 0.0948 ↑
system.mem_ctrls.wrQLenPdf::43 | Correlation: 0.0939 ↑
system.mem_ctrls.dram.rank1.readEnergy | Correlation: 0.0934 ↑
system.l2.tags.ratioOccsTaskId::1024 | Correlation: 0.0930 ↑
system.l2.tags.occupanciesTaskId::1024 | Correlation: 0.0929 ↑
system.switch_cpus.branchPred.indirectLookups | Correlation: 0.0922 ↑
system.switch_cpus.branchPred.indirectHits | Correlation: 0.0922 ↑
system.switch_cpus.branchPred.targetProvider_0::Indirect | Correlation: 0.0922 ↑
system.l2.tags.sampledRefs     | Correlation: 0.0903 ↑
system.mem_ctrls.numStayWriteState | Correlation: 0.0894 ↑
system.switch_cpus.branchPred.committed_0::DirectUncond | Correlation: 0.0865 ↑
system.switch_cpus.vecInstQueueWrites | Correlation: 0.0861 ↑
system.l2.overallMisses::switch_cpus.data | Correlation: 0.0857 ↑
system.l2.demandMisses::switch_cpus.data | Correlation: 0.0857 ↑
system.l2.demandMshrMisses::switch_cpus.data | Correlation: 0.0857 ↑
system.l2.overallMshrMisses::switch_cpus.data | Correlation: 0.0857 ↑
system.mem_ctrls.dram.bytesRead::switch_cpus.data | Correlation: 0.0856 ↑
system.mem_ctrls.dram.numReads::switch_cpus.data | Correlation: 0.0856 ↑
system.mem_ctrls.requestorReadAccesses::switch_cpus.data | Correlation: 0.0856 ↑
system.mem_ctrls.avgPriority_switch_cpus.data::samples | Correlation: 0.0856 ↑
system.mem_ctrls.requestorReadBytes::switch_cpus.data | Correlation: 0.0856 ↑
system.switch_cpus.statIssuedInstType_0::SimdFloatAlu | Correlation: 0.0821 ↑
system.switch_cpus.statIssuedInstType_0::SimdSha1Hash | Correlation: 0.0821 ↑
system.switch_cpus.statIssuedInstType_0::SimdDiv | Correlation: 0.0821 ↑
system.mem_ctrls.dram.perBankRdBursts::15 | Correlation: 0.0803 ↑
system.switch_cpus.statIssuedInstType_0::FloatCmp | Correlation: 0.0785 ↑
system.l2.replacements         | Correlation: 0.0783 ↑
system.switch_cpus.statIssuedInstType_0::FloatSqrt | Correlation: 0.0777 ↑
system.mem_ctrls.mergedWrBursts | Correlation: 0.0763 ↑
system.switch_cpus.statIssuedInstType_0::SimdMultAcc | Correlation: 0.0753 ↑
system.mem_ctrls.wrQLenPdf::28 | Correlation: 0.0742 ↑
system.mem_ctrls.wrQLenPdf::55 | Correlation: 0.0719 ↑
system.mem_ctrls.wrQLenPdf::54 | Correlation: 0.0716 ↑
system.mem_ctrls.wrQLenPdf::52 | Correlation: 0.0712 ↑
system.mem_ctrls.wrQLenPdf::57 | Correlation: 0.0711 ↑
system.mem_ctrls.wrQLenPdf::53 | Correlation: 0.0710 ↑
system.mem_ctrls.wrQLenPdf::58 | Correlation: 0.0709 ↑
system.mem_ctrls.wrQLenPdf::56 | Correlation: 0.0708 ↑
system.mem_ctrls.wrQLenPdf::50 | Correlation: 0.0706 ↑
system.mem_ctrls.wrQLenPdf::51 | Correlation: 0.0701 ↑
system.mem_ctrls.wrQLenPdf::49 | Correlation: 0.0697 ↑
system.mem_ctrls.wrQLenPdf::47 | Correlation: 0.0687 ↑
system.mem_ctrls.wrQLenPdf::31 | Correlation: 0.0685 ↑
system.l2.tags.avgOccs::writebacks | Correlation: 0.0683 ↑
system.switch_cpus.lsq0.loadToUse::120-129 | Correlation: 0.0680 ↑
system.switch_cpus.statIssuedInstType_0::SimdMisc | Correlation: 0.0670 ↑
system.mem_ctrls.wrPerTurnAround::18 | Correlation: 0.0663 ↑
system.mem_ctrls.wrQLenPdf::48 | Correlation: 0.0646 ↑
system.switch_cpus.lsq0.loadToUse::100-109 | Correlation: 0.0644 ↑
system.mem_ctrls.wrQLenPdf::46 | Correlation: 0.0624 ↑
system.switch_cpus.lsq0.loadToUse::0-9 | Correlation: 0.0594 ↑
system.switch_cpus.lsq0.loadToUse::190-199 | Correlation: 0.0583 ↑
system.switch_cpus.branchPred.mispredicted_0::CallIndirect | Correlation: 0.0580 ↑
system.l2.ReadCleanReq.mshrMissRate::switch_cpus.inst | Correlation: 0.0565 ↑
system.l2.overallMshrMissRate::switch_cpus.inst | Correlation: 0.0565 ↑
system.l2.demandMshrMissRate::switch_cpus.inst | Correlation: 0.0565 ↑
system.mem_ctrls.dram.perBankWrBursts::5 | Correlation: 0.0549 ↑
system.l2.ReadCleanReq.mshrMissRate::total | Correlation: 0.0546 ↑
system.mem_ctrls.dram.perBankWrBursts::0 | Correlation: 0.0526 ↑
system.mem_ctrls.wrPerTurnAround::samples | Correlation: 0.0521 ↑
system.mem_ctrls.wrPerTurnAround::total | Correlation: 0.0521 ↑
system.mem_ctrls.numReadWriteTurnArounds | Correlation: 0.0521 ↑
system.switch_cpus.statIssuedInstType_0::FloatMult | Correlation: 0.0519 ↑
system.mem_ctrls.wrQLenPdf::33 | Correlation: 0.0513 ↑
system.switch_cpus.statIssuedInstType_0::SimdAddAcc | Correlation: 0.0507 ↑
system.l2.ReadCleanReq.missRate::total | Correlation: 0.0502 ↑
system.l2.demandMissRate::switch_cpus.inst | Correlation: 0.0502 ↑
system.l2.ReadCleanReq.missRate::switch_cpus.inst | Correlation: 0.0502 ↑
system.l2.overallMissRate::switch_cpus.inst | Correlation: 0.0502 ↑
system.switch_cpus.vecInstQueueWakeupAccesses | Correlation: 0.0497 ↑
system.mem_ctrls.rdPerTurnAround::total | Correlation: 0.0494 ↑
system.mem_ctrls.rdPerTurnAround::samples | Correlation: 0.0494 ↑
system.mem_ctrls.numWriteReadTurnArounds | Correlation: 0.0494 ↑
system.mem_ctrls.dram.perBankRdBursts::12 | Correlation: 0.0487 ↑
system.mem_ctrls.rdPerTurnAround::gmean | Correlation: 0.0486 ↑
system.l2.tags.occupancies::cpu.data | Correlation: 0.0482 ↑
system.switch_cpus.executeStats0.numVecRegReads | Correlation: 0.0469 ↑
system.switch_cpus.statIssuedInstType_0::SimdAdd | Correlation: 0.0437 ↑
system.switch_cpus.rename.serializeStallCycles | Correlation: 0.0426 ↑
system.mem_ctrls.wrQLenPdf::36 | Correlation: 0.0425 ↑
system.l2.tags.avgOccs::cpu.data | Correlation: 0.0422 ↑
system.switch_cpus.statIssuedInstType_0::SimdFloatMultAcc | Correlation: 0.0390 ↑
system.switch_cpus.statFuBusy::MemWrite | Correlation: 0.0373 ↑
system.switch_cpus.statIssuedInstType_0::SimdAlu | Correlation: 0.0357 ↑
system.mem_ctrls.dram.perBankWrBursts::10 | Correlation: 0.0350 ↑
system.l2.tags.occupancies::switch_cpus.inst | Correlation: 0.0311 ↑
system.l2.tags.avgOccs::switch_cpus.inst | Correlation: 0.0310 ↑
system.switch_cpus.statFuBusy::SimdCmp | Correlation: 0.0308 ↑
system.switch_cpus.rename.tempSerializing | Correlation: 0.0269 ↑
system.switch_cpus.commit.numCommittedDist::2 | Correlation: 0.0265 ↑
system.mem_ctrls.rdQLenPdf::7  | Correlation: 0.0261 ↑
system.mem_ctrls.numWrRetry    | Correlation: 0.0258 ↑
system.mem_ctrls.dram.bwInstRead::total | Correlation: 0.0249 ↑
system.switch_cpus.executeStats0.numVecRegWrites | Correlation: 0.0228 ↑
system.switch_cpus.lsq0.loadToUse::40-49 | Correlation: 0.0227 ↑
system.mem_ctrls.requestorReadRate::switch_cpus.inst | Correlation: 0.0225 ↑
system.mem_ctrls.dram.bwTotal::switch_cpus.inst | Correlation: 0.0225 ↑
system.mem_ctrls.dram.bwInstRead::switch_cpus.inst | Correlation: 0.0225 ↑
system.mem_ctrls.dram.bwRead::switch_cpus.inst | Correlation: 0.0225 ↑
system.mem_ctrls.avgWrQLen     | Correlation: 0.0213 ↑
system.l2.ReadExReq.avgMissLatency::total | Correlation: 0.0191 ↑
system.l2.ReadExReq.avgMissLatency::switch_cpus.data | Correlation: 0.0185 ↑
system.l2.ReadExReq.avgMshrMissLatency::switch_cpus.data | Correlation: 0.0178 ↑
system.l2.ReadExReq.avgMshrMissLatency::total | Correlation: 0.0178 ↑
system.mem_ctrls.wrQLenPdf::27 | Correlation: 0.0172 ↑
system.switch_cpus.statIssuedInstType_0::FloatMultAcc | Correlation: 0.0166 ↑
system.switch_cpus.decode.branchMispred | Correlation: 0.0154 ↑
system.mem_ctrls.wrQLenPdf::24 | Correlation: 0.0149 ↑
system.l2.ReadSharedReq.misses::total | Correlation: 0.0133 ↑
system.l2.ReadSharedReq.misses::switch_cpus.data | Correlation: 0.0133 ↑
system.l2.ReadSharedReq.mshrMisses::total | Correlation: 0.0133 ↑
system.l2.ReadSharedReq.mshrMisses::switch_cpus.data | Correlation: 0.0133 ↑
system.switch_cpus.commit.committedInstType_0::IntAlu | Correlation: 0.0129 ↑
system.switch_cpus.commitStats0.committedInstType::IntAlu | Correlation: 0.0129 ↑
system.membus.snoop_filter.hitSingleRequests | Correlation: 0.0102 ↑
system.mem_ctrls.wrQLenPdf::18 | Correlation: 0.0090 ↑
system.switch_cpus.commitStats0.committedControl::IsUncondControl | Correlation: 0.0083 ↑
system.mem_ctrls.wrQLenPdf::62 | Correlation: 0.0068 ↑
system.mem_ctrls.dram.perBankRdBursts::10 | Correlation: 0.0053 ↑
system.mem_ctrls.wrQLenPdf::60 | Correlation: 0.0017 ↑
system.mem_ctrls.wrQLenPdf::37 | Correlation: 0.0012 ↑
system.switch_cpus.branchPred.squashes_0::IndirectUncond | Correlation: 0.0001 ↑
system.mem_ctrls.wrQLenPdf::3  | Correlation: -0.0015 ↓
system.switch_cpus.statFuBusy::IntMult | Correlation: -0.0031 ↓
system.switch_cpus.rename.vecLookups | Correlation: -0.0033 ↓
system.switch_cpus.statIssuedInstType_0::SimdMult | Correlation: -0.0067 ↓
system.switch_cpus.statIssuedInstType_0::FloatAdd | Correlation: -0.0074 ↓
system.mem_ctrls.wrPerTurnAround::stdev | Correlation: -0.0143 ↓
system.switch_cpus.statIssuedInstType_0::SimdPredAlu | Correlation: -0.0154 ↓
system.switch_cpus.vecAluAccesses | Correlation: -0.0179 ↓
system.switch_cpus.vecInstQueueReads | Correlation: -0.0180 ↓
system.switch_cpus.statIssuedInstType_0::SimdMatMultAcc | Correlation: -0.0207 ↓
system.switch_cpus.branchPred.committed_0::IndirectUncond | Correlation: -0.0207 ↓
system.switch_cpus.statIssuedInstType_0::SimdFloatMisc | Correlation: -0.0207 ↓
system.mem_ctrls.wrQLenPdf::6  | Correlation: -0.0234 ↓
system.switch_cpus.branchPred.targetWrong_0::CallIndirect | Correlation: -0.0235 ↓
hostMemory                     | Correlation: -0.0259 ↓
system.switch_cpus.statIssuedInstType_0::SimdCvt | Correlation: -0.0267 ↓
system.switch_cpus.iew.iqFullEvents | Correlation: -0.0304 ↓
system.switch_cpus.statIssuedInstType_0::SimdFloatAdd | Correlation: -0.0338 ↓
system.switch_cpus.branchPred.btb.lookups::IndirectUncond | Correlation: -0.0352 ↓
system.switch_cpus.branchPred.btb.misses::IndirectUncond | Correlation: -0.0352 ↓
system.switch_cpus.branchPred.lookups_0::IndirectUncond | Correlation: -0.0352 ↓
system.switch_cpus.statFuBusy::IntDiv | Correlation: -0.0354 ↓
system.switch_cpus.executeStats0.numNop | Correlation: -0.0408 ↓
system.membus.transDist::CleanEvict | Correlation: -0.0411 ↓
system.tol2bus.snoopFanout::2  | Correlation: -0.0434 ↓
system.tol2bus.snoop_filter.hitMultiSnoops | Correlation: -0.0434 ↓
system.switch_cpus.lsq0.loadToUse::150-159 | Correlation: -0.0458 ↓
system.switch_cpus.lsq0.loadToUse::210-219 | Correlation: -0.0514 ↓
system.switch_cpus.statIssuedInstType_0::SimdFloatCmp | Correlation: -0.0538 ↓
system.mem_ctrls.wrQLenPdf::63 | Correlation: -0.0558 ↓
system.switch_cpus.statIssuedInstType_0::FloatMisc | Correlation: -0.0588 ↓
hostTickRate                   | Correlation: -0.0624 ↓
system.l2.ReadExReq.missLatency::total | Correlation: -0.0625 ↓
system.l2.ReadExReq.missLatency::switch_cpus.data | Correlation: -0.0625 ↓
system.switch_cpus.statFuBusy::SimdAdd | Correlation: -0.0634 ↓
system.tol2bus.pktSize::total  | Correlation: -0.0638 ↓
system.switch_cpus.lsq0.rescheduledLoads | Correlation: -0.0639 ↓
system.switch_cpus.statFuBusy::SimdMisc | Correlation: -0.0651 ↓
system.tol2bus.reqLayer0.occupancy | Correlation: -0.0655 ↓
system.mem_ctrls.wrQLenPdf::61 | Correlation: -0.0664 ↓
system.mem_ctrls.wrQLenPdf::59 | Correlation: -0.0668 ↓
system.mem_ctrls.dram.perBankWrBursts::3 | Correlation: -0.0670 ↓
system.mem_ctrls.dram.writeRowHits | Correlation: -0.0674 ↓
system.switch_cpus.commitStats0.committedControl::IsReturn | Correlation: -0.0711 ↓
system.switch_cpus.commitStats0.committedControl::IsIndirectControl | Correlation: -0.0711 ↓
system.tol2bus.snoopFanout::0  | Correlation: -0.0716 ↓
system.mem_ctrls.dram.perBankWrBursts::14 | Correlation: -0.0721 ↓
system.switch_cpus.MemDepUnit__0.MDPLookups | Correlation: -0.0724 ↓
system.switch_cpus.statIssuedInstType_0::FloatCvt | Correlation: -0.0738 ↓
system.l2.ReadExReq.mshrMissLatency::switch_cpus.data | Correlation: -0.0743 ↓
system.l2.ReadExReq.mshrMissLatency::total | Correlation: -0.0743 ↓
system.switch_cpus.commitStats0.numStoreInsts | Correlation: -0.0754 ↓
system.switch_cpus.commit.committedInstType_0::MemWrite | Correlation: -0.0754 ↓
system.switch_cpus.commitStats0.committedInstType::MemWrite | Correlation: -0.0754 ↓
system.l2.demandHits::total    | Correlation: -0.0759 ↓
system.l2.overallHits::total   | Correlation: -0.0759 ↓
system.mem_ctrls.wrQLenPdf::1  | Correlation: -0.0772 ↓
system.l2.tags.totalRefs       | Correlation: -0.0777 ↓
system.switch_cpus.numIssuedDist::10 | Correlation: -0.0787 ↓
system.mem_ctrls.wrQLenPdf::45 | Correlation: -0.0791 ↓
system.mem_ctrls.wrQLenPdf::15 | Correlation: -0.0795 ↓
system.mem_ctrls.dram.perBankWrBursts::4 | Correlation: -0.0807 ↓
system.switch_cpus.statIssuedInstType_0::SimdFloatMult | Correlation: -0.0821 ↓
system.switch_cpus.statIssuedInstType_0::SimdReduceAdd | Correlation: -0.0821 ↓
system.switch_cpus.statIssuedInstType_0::SimdReduceAlu | Correlation: -0.0821 ↓
system.switch_cpus.statIssuedInstType_0::SimdReduceCmp | Correlation: -0.0821 ↓
system.l2.ReadExReq.missRate::total | Correlation: -0.0831 ↓
system.l2.ReadExReq.missRate::switch_cpus.data | Correlation: -0.0831 ↓
system.l2.ReadExReq.mshrMissRate::switch_cpus.data | Correlation: -0.0831 ↓
system.l2.ReadExReq.mshrMissRate::total | Correlation: -0.0833 ↓
system.switch_cpus.commitStats0.numIntInsts | Correlation: -0.0834 ↓
system.mem_ctrls.wrQLenPdf::23 | Correlation: -0.0838 ↓
system.mem_ctrls.dram.perBankRdBursts::0 | Correlation: -0.0840 ↓
system.mem_ctrls.rdQLenPdf::3  | Correlation: -0.0845 ↓
system.mem_ctrls.wrQLenPdf::16 | Correlation: -0.0852 ↓
system.switch_cpus.lsq0.loadToUse::60-69 | Correlation: -0.0908 ↓
system.mem_ctrls.wrPerTurnAround::16 | Correlation: -0.0910 ↓
system.l2.overallAccesses::total | Correlation: -0.0913 ↓
system.l2.demandAccesses::total | Correlation: -0.0913 ↓
system.switch_cpus.statIssuedInstType_0::IntMult | Correlation: -0.0932 ↓
system.tol2bus.snoop_filter.hitSingleRequests | Correlation: -0.0936 ↓
system.l2.tags.tagAccesses     | Correlation: -0.0938 ↓
system.l2.tags.dataAccesses    | Correlation: -0.0938 ↓
system.tol2bus.snoopFanout::total | Correlation: -0.0953 ↓
system.tol2bus.snoopFanout::samples | Correlation: -0.0953 ↓
system.tol2bus.snoop_filter.totRequests | Correlation: -0.0968 ↓
system.tol2bus.pktCount::total | Correlation: -0.0970 ↓
system.tol2bus.transDist::CleanEvict | Correlation: -0.1015 ↓
system.mem_ctrls.rdQLenPdf::2  | Correlation: -0.1076 ↓
system.l2.tags.avgRefs         | Correlation: -0.1086 ↓
system.mem_ctrls.dram.perBankRdBursts::7 | Correlation: -0.1090 ↓
system.switch_cpus.statIssuedInstType_0::IntDiv | Correlation: -0.1094 ↓
system.switch_cpus.branchPred.lookups_0::CallDirect | Correlation: -0.1126 ↓
system.switch_cpus.branchPred.btb.lookups::CallDirect | Correlation: -0.1126 ↓
system.switch_cpus.lsq0.loadToUse::130-139 | Correlation: -0.1160 ↓
system.l2.tags.ageTaskId_1024::0 | Correlation: -0.1163 ↓
system.switch_cpus.branchPred.btb.misses::CallIndirect | Correlation: -0.1166 ↓
system.switch_cpus.branchPred.btb.lookups::CallIndirect | Correlation: -0.1166 ↓
system.switch_cpus.branchPred.lookups_0::CallIndirect | Correlation: -0.1166 ↓
system.switch_cpus.lsq0.loadToUse::160-169 | Correlation: -0.1202 ↓
system.mem_ctrls.wrQLenPdf::32 | Correlation: -0.1206 ↓
system.switch_cpus.lsq0.loadToUse::30-39 | Correlation: -0.1207 ↓
system.switch_cpus.lsq0.loadToUse::overflows | Correlation: -0.1207 ↓
system.switch_cpus.fuBusyRate  | Correlation: -0.1242 ↓
system.mem_ctrls.wrQLenPdf::20 | Correlation: -0.1249 ↓
system.mem_ctrls.wrQLenPdf::22 | Correlation: -0.1254 ↓
hostInstRate                   | Correlation: -0.1266 ↓
system.switch_cpus.lsq0.loadToUse::90-99 | Correlation: -0.1268 ↓
hostOpRate                     | Correlation: -0.1274 ↓
system.mem_ctrls.rdQLenPdf::1  | Correlation: -0.1276 ↓
system.switch_cpus.lsq0.loadToUse::290-299 | Correlation: -0.1279 ↓
system.mem_ctrls.dram.perBankRdBursts::5 | Correlation: -0.1312 ↓
system.mem_ctrls.wrQLenPdf::29 | Correlation: -0.1340 ↓
system.switch_cpus.commitStats0.numOpsNotNOP | Correlation: -0.1395 ↓
system.switch_cpus.thread_0.numOps | Correlation: -0.1395 ↓
system.switch_cpus.commit.committedInstType_0::total | Correlation: -0.1396 ↓
system.switch_cpus.commitStats0.numOps | Correlation: -0.1396 ↓
system.switch_cpus.commitStats0.committedInstType::total | Correlation: -0.1396 ↓
system.switch_cpus.statIssuedInstType_0::FloatDiv | Correlation: -0.1418 ↓
system.mem_ctrls.dram.perBankRdBursts::14 | Correlation: -0.1454 ↓
system.switch_cpus.lsq0.loadToUse::20-29 | Correlation: -0.1476 ↓
system.switch_cpus.commitStats0.committedControl::IsDirectControl | Correlation: -0.1482 ↓
system.switch_cpus.lsq0.loadToUse::110-119 | Correlation: -0.1482 ↓
system.switch_cpus.commitStats0.committedControl::IsControl | Correlation: -0.1508 ↓
system.switch_cpus.commitStats0.committedControl::IsCondControl | Correlation: -0.1508 ↓
system.switch_cpus.statIssuedInstType_0::SimdShift | Correlation: -0.1513 ↓
system.tol2bus.transDist::ReadResp | Correlation: -0.1530 ↓
system.switch_cpus.rename.committedMaps | Correlation: -0.1615 ↓
system.membus.reqLayer0.occupancy | Correlation: -0.1631 ↓
system.switch_cpus.statFuBusy::SimdAlu | Correlation: -0.1700 ↓
system.switch_cpus.lsq0.loadToUse::240-249 | Correlation: -0.1736 ↓
system.mem_ctrls.dram.perBankRdBursts::8 | Correlation: -0.1752 ↓
system.switch_cpus.lsq0.loadToUse::70-79 | Correlation: -0.1776 ↓
system.mem_ctrls.dram.perBankWrBursts::8 | Correlation: -0.1806 ↓
system.l2.tags.occupancies::cpu.inst | Correlation: -0.1822 ↓
system.switch_cpus.lsq0.loadToUse::260-269 | Correlation: -0.1825 ↓
system.switch_cpus.thread_0.numInsts | Correlation: -0.1863 ↓
system.switch_cpus.commitStats0.numInstsNotNOP | Correlation: -0.1863 ↓
system.switch_cpus.commitStats0.numInsts | Correlation: -0.1863 ↓
system.l2.demandAccesses::switch_cpus.data | Correlation: -0.1941 ↓
system.l2.overallAccesses::switch_cpus.data | Correlation: -0.1941 ↓
system.mem_ctrls.wrQLenPdf::19 | Correlation: -0.1949 ↓
system.tol2bus.respLayer1.occupancy | Correlation: -0.1959 ↓
system.switch_cpus.lsq0.loadToUse::10-19 | Correlation: -0.1973 ↓
system.switch_cpus.branchPred.squashes_0::CallDirect | Correlation: -0.1978 ↓
system.l2.overallHits::switch_cpus.data | Correlation: -0.2033 ↓
system.l2.demandHits::switch_cpus.data | Correlation: -0.2033 ↓
system.l2.tags.ageTaskId_1024::1 | Correlation: -0.2074 ↓
system.mem_ctrls.rdPerTurnAround::stdev | Correlation: -0.2105 ↓
system.tol2bus.transDist::WritebackDirty | Correlation: -0.2109 ↓
system.switch_cpus.iew.dispSquashedInsts | Correlation: -0.2159 ↓
system.switch_cpus.branchPred.ras.correct | Correlation: -0.2196 ↓
system.switch_cpus.statFuBusy::SimdMultAcc | Correlation: -0.2205 ↓
system.switch_cpus.commit.committedInstType_0::SimdAdd | Correlation: -0.2272 ↓
system.switch_cpus.commitStats0.committedInstType::SimdAdd | Correlation: -0.2272 ↓
system.mem_ctrls.wrQLenPdf::5  | Correlation: -0.2272 ↓
system.mem_ctrls.wrQLenPdf::4  | Correlation: -0.2272 ↓
system.switch_cpus.branchPred.committed_0::total | Correlation: -0.2275 ↓
system.tol2bus.transDist::InvalidateReq | Correlation: -0.2278 ↓
system.l2.InvalidateReq.accesses::switch_cpus.data | Correlation: -0.2278 ↓
system.l2.InvalidateReq.accesses::total | Correlation: -0.2278 ↓
system.tol2bus.transDist::InvalidateResp | Correlation: -0.2278 ↓
system.l2.WritebackDirty.hits::total | Correlation: -0.2314 ↓
system.l2.WritebackDirty.accesses::writebacks | Correlation: -0.2314 ↓
system.l2.WritebackDirty.accesses::total | Correlation: -0.2314 ↓
system.l2.WritebackDirty.hits::writebacks | Correlation: -0.2314 ↓
system.switch_cpus.branchPred.mispredicted_0::DirectUncond | Correlation: -0.2316 ↓
simOps                         | Correlation: -0.2332 ↓
system.mem_ctrls.wrPerTurnAround::17 | Correlation: -0.2351 ↓
system.switch_cpus.lsq0.loadToUse::mean | Correlation: -0.2449 ↓
system.switch_cpus.commit.memOrderViolationEvents | Correlation: -0.2537 ↓
system.switch_cpus.lsq0.loadToUse::230-239 | Correlation: -0.2554 ↓
system.switch_cpus.MemDepUnit__0.LFSTReads | Correlation: -0.2559 ↓
system.mem_ctrls.avgRdQLen     | Correlation: -0.2589 ↓
system.l2.ReadSharedReq.accesses::switch_cpus.data | Correlation: -0.2603 ↓
system.l2.ReadSharedReq.accesses::total | Correlation: -0.2603 ↓
system.tol2bus.transDist::ReadSharedReq | Correlation: -0.2603 ↓
system.mem_ctrls.wrQLenPdf::30 | Correlation: -0.2657 ↓
system.mem_ctrls.wrQLenPdf::35 | Correlation: -0.2821 ↓
system.mem_ctrls.wrQLenPdf::8  | Correlation: -0.2862 ↓
system.switch_cpus.lsq0.loadToUse::200-209 | Correlation: -0.2895 ↓
system.switch_cpus.lsq0.forwLoads | Correlation: -0.2937 ↓
system.switch_cpus.lsq0.loadToUse::50-59 | Correlation: -0.2954 ↓
system.switch_cpus.MemDepUnit__0.LFSTWrites | Correlation: -0.2984 ↓
system.l2.ReadSharedReq.hits::total | Correlation: -0.3017 ↓
system.l2.ReadSharedReq.hits::switch_cpus.data | Correlation: -0.3017 ↓
simInsts                       | Correlation: -0.3075 ↓
system.switch_cpus.lsq0.loadToUse::250-259 | Correlation: -0.3109 ↓
system.mem_ctrls.dram.bytesPerActivate::gmean | Correlation: -0.3138 ↓
system.switch_cpus.lsq0.loadToUse::180-189 | Correlation: -0.3186 ↓
system.switch_cpus.lsq0.blockedByCache | Correlation: -0.3193 ↓
system.switch_cpus.branchPred.corrected_0::IndirectUncond | Correlation: -0.3211 ↓
system.mem_ctrls.dram.bytesPerActivate::stdev | Correlation: -0.3286 ↓
system.switch_cpus.commit.numCommittedDist::3 | Correlation: -0.3300 ↓
system.l2.demandMissLatency::total | Correlation: -0.3301 ↓
system.l2.overallMissLatency::total | Correlation: -0.3301 ↓
system.mem_ctrls.dram.pageHitRate | Correlation: -0.3320 ↓
system.mem_ctrls.dram.readRowHitRate | Correlation: -0.3468 ↓
system.mem_ctrls.wrQLenPdf::21 | Correlation: -0.3471 ↓
system.switch_cpus.statIssuedInstType_0::No_OpClass | Correlation: -0.3493 ↓
system.mem_ctrls.dram.bytesPerActivate::mean | Correlation: -0.3510 ↓
system.switch_cpus.branchPred.mispredicted_0::IndirectUncond | Correlation: -0.3526 ↓
system.l2.overallMshrMissLatency::total | Correlation: -0.3585 ↓
system.l2.demandMshrMissLatency::total | Correlation: -0.3585 ↓
system.switch_cpus.MemDepUnit__0.conflictingLoads | Correlation: -0.3783 ↓
system.switch_cpus.lsq0.loadToUse::220-229 | Correlation: -0.4056 ↓
system.switch_cpus.numIssuedDist::mean | Correlation: -0.4101 ↓
system.switch_cpus.issueRate   | Correlation: -0.4102 ↓
system.switch_cpus.commitStats0.numMemRefs | Correlation: -0.4211 ↓
system.mem_ctrls.dram.bytesPerActivate::896-1023 | Correlation: -0.4251 ↓
system.switch_cpus.iew.wbFanout | Correlation: -0.4378 ↓
system.membus.reqLayer0.utilization | Correlation: -0.4422 ↓
system.l2.tags.avgOccs::cpu.inst | Correlation: -0.4595 ↓
