
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118808                       # Number of seconds simulated (Second)
simTicks                                 118808427500                       # Number of ticks simulated (Tick)
finalTick                                118808427500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2968.49                       # Real time elapsed on the host (Second)
hostTickRate                                 40023220                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649072                       # Number of bytes of host memory used (Byte)
simInsts                                    701649707                       # Number of instructions simulated (Count)
simOps                                      769676021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   236366                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259282                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        237616856                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       806362066                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      175                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      787274637                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2363805                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             36686219                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          96317585                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  90                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           237559701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.314008                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.450750                       # Number of insts issued each cycle (Count)
system.cpu.StoreSet__3.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__3.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__3.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__3.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__3.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__3.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__3.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.branchPred.lookups                42571453                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          38872197                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1066502                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             35648178                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                35645376                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999921                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 1520976                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  4                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups            1767                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                960                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              807                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          136                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        36686128                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              85                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           1065955                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    235022545                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     3.274904                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     5.703894                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       105479167     44.88%     44.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        30318737     12.90%     57.78% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        25660774     10.92%     68.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         5461266      2.32%     71.02% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4         3531097      1.50%     72.53% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         7631585      3.25%     75.77% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6        19600601      8.34%     84.11% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7        19659552      8.36%     92.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         1338346      0.57%     93.05% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::9          711855      0.30%     93.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::10         395731      0.17%     93.52% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::11         210133      0.09%     93.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::12           6043      0.00%     93.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::13         787945      0.34%     93.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::14          34658      0.01%     93.96% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::15         267571      0.11%     94.07% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::16          58977      0.03%     94.10% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::17         184759      0.08%     94.18% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::18          75551      0.03%     94.21% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::19          92491      0.04%     94.25% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::20         645485      0.27%     94.52% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::21         649616      0.28%     94.80% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::22         314296      0.13%     94.93% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::23         466743      0.20%     95.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::24       11439566      4.87%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value           24                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total    235022545                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted            701649969                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              769676283                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                   362962734                       # Number of memory references committed (Count)
system.cpu.commit.loads                     231203595                       # Number of loads committed (Count)
system.cpu.commit.amos                             28                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          34                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   36926493                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions        588653033                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   510943479                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               1493813                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass           79      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    175840692     22.85%     22.85% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        93721      0.01%     22.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           10      0.00%     22.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd     69499564      9.03%     31.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp      1492614      0.19%     32.08% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt      1589702      0.21%     32.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult     70245864      9.13%     41.42% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc     80600832     10.47%     51.89% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv      1496199      0.19%     52.08% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc      5751656      0.75%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          370      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          594      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp          149      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            2      0.00%     52.83% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc       100745      0.01%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift          756      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     52.84% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead    231203595     30.04%     82.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite    131759139     17.12%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total    769676283                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples      11439566                       # number cycles where commit BW limit reached (Cycle)
system.cpu.dcache.demandHits::cpu.data      369193627                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total         369193627                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data     369193627                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total        369193627                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data         7454                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total            7454                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data         7454                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total           7454                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data    364669697                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total    364669697                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data    364669697                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total    364669697                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data    369201081                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total     369201081                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data    369201081                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total    369201081                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.000020                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.000020                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.000020                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.000020                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data 48922.685404                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.demandAvgMissLatency::total 48922.685404                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data 48922.685404                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMissLatency::total 48922.685404                       # average overall miss latency ((Tick/Count))
system.cpu.dcache.blockedCycles::no_mshrs        24499                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets          198                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs         1050                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets            3                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs      23.332381                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets           66                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks          370                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total               370                       # number of writebacks (Count)
system.cpu.dcache.demandMshrHits::cpu.data         5849                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.demandMshrHits::total          5849                       # number of demand (read+write) MSHR hits (Count)
system.cpu.dcache.overallMshrHits::cpu.data         5849                       # number of overall MSHR hits (Count)
system.cpu.dcache.overallMshrHits::total         5849                       # number of overall MSHR hits (Count)
system.cpu.dcache.demandMshrMisses::cpu.data         1605                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.demandMshrMisses::total         1605                       # number of demand (read+write) MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::cpu.data         1605                       # number of overall MSHR misses (Count)
system.cpu.dcache.overallMshrMisses::total         1605                       # number of overall MSHR misses (Count)
system.cpu.dcache.demandMshrMissLatency::cpu.data     84236736                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissLatency::total     84236736                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::cpu.data     84236736                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.overallMshrMissLatency::total     84236736                       # number of overall MSHR miss ticks (Tick)
system.cpu.dcache.demandMshrMissRate::cpu.data     0.000004                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.demandMshrMissRate::total     0.000004                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::cpu.data     0.000004                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.overallMshrMissRate::total     0.000004                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.dcache.demandAvgMshrMissLatency::cpu.data 52483.947664                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.demandAvgMshrMissLatency::total 52483.947664                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::cpu.data 52483.947664                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.overallAvgMshrMissLatency::total 52483.947664                       # average overall mshr miss latency ((Tick/Count))
system.cpu.dcache.replacements                    593                       # number of replacements (Count)
system.cpu.dcache.LoadLockedReq.hits::cpu.data           11                       # number of LoadLockedReq hits (Count)
system.cpu.dcache.LoadLockedReq.hits::total           11                       # number of LoadLockedReq hits (Count)
system.cpu.dcache.LoadLockedReq.misses::cpu.data            1                       # number of LoadLockedReq misses (Count)
system.cpu.dcache.LoadLockedReq.misses::total            1                       # number of LoadLockedReq misses (Count)
system.cpu.dcache.LoadLockedReq.missLatency::cpu.data        79500                       # number of LoadLockedReq miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.missLatency::total        79500                       # number of LoadLockedReq miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.accesses::cpu.data           12                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu.dcache.LoadLockedReq.accesses::total           12                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.cpu.dcache.LoadLockedReq.missRate::cpu.data     0.083333                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.missRate::total     0.083333                       # miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.avgMissLatency::cpu.data        79500                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.avgMissLatency::total        79500                       # average LoadLockedReq miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.mshrMisses::cpu.data            1                       # number of LoadLockedReq MSHR misses (Count)
system.cpu.dcache.LoadLockedReq.mshrMisses::total            1                       # number of LoadLockedReq MSHR misses (Count)
system.cpu.dcache.LoadLockedReq.mshrMissLatency::cpu.data        78500                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.mshrMissLatency::total        78500                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.cpu.dcache.LoadLockedReq.mshrMissRate::cpu.data     0.083333                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.mshrMissRate::total     0.083333                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.cpu.dcache.LoadLockedReq.avgMshrMissLatency::cpu.data        78500                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu.dcache.LoadLockedReq.avgMshrMissLatency::total        78500                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.hits::cpu.data    237440624                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.hits::total       237440624                       # number of ReadReq hits (Count)
system.cpu.dcache.ReadReq.misses::cpu.data         1280                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.misses::total          1280                       # number of ReadReq misses (Count)
system.cpu.dcache.ReadReq.missLatency::cpu.data     70045500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.missLatency::total     70045500                       # number of ReadReq miss ticks (Tick)
system.cpu.dcache.ReadReq.accesses::cpu.data    237441904                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.accesses::total    237441904                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.dcache.ReadReq.missRate::cpu.data     0.000005                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.missRate::total     0.000005                       # miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMissLatency::cpu.data 54723.046875                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMissLatency::total 54723.046875                       # average ReadReq miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.mshrHits::cpu.data          813                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrHits::total          813                       # number of ReadReq MSHR hits (Count)
system.cpu.dcache.ReadReq.mshrMisses::cpu.data          467                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMisses::total          467                       # number of ReadReq MSHR misses (Count)
system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data     30793500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissLatency::total     30793500                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.dcache.ReadReq.mshrMissRate::cpu.data     0.000002                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.mshrMissRate::total     0.000002                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data 65938.972163                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.ReadReq.avgMshrMissLatency::total 65938.972163                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.dcache.StoreCondReq.hits::cpu.data            4                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.hits::total            4                       # number of StoreCondReq hits (Count)
system.cpu.dcache.StoreCondReq.accesses::cpu.data            4                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.StoreCondReq.accesses::total            4                       # number of StoreCondReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.hits::cpu.data           26                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.hits::total              26                       # number of SwapReq hits (Count)
system.cpu.dcache.SwapReq.misses::cpu.data            2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.misses::total             2                       # number of SwapReq misses (Count)
system.cpu.dcache.SwapReq.missLatency::cpu.data       130000                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.missLatency::total       130000                       # number of SwapReq miss ticks (Tick)
system.cpu.dcache.SwapReq.accesses::cpu.data           28                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.accesses::total           28                       # number of SwapReq accesses(hits+misses) (Count)
system.cpu.dcache.SwapReq.missRate::cpu.data     0.071429                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.missRate::total     0.071429                       # miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMissLatency::cpu.data        65000                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMissLatency::total        65000                       # average SwapReq miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.mshrMisses::cpu.data            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMisses::total            2                       # number of SwapReq MSHR misses (Count)
system.cpu.dcache.SwapReq.mshrMissLatency::cpu.data       128000                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissLatency::total       128000                       # number of SwapReq MSHR miss ticks (Tick)
system.cpu.dcache.SwapReq.mshrMissRate::cpu.data     0.071429                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.mshrMissRate::total     0.071429                       # mshr miss rate for SwapReq accesses (Ratio)
system.cpu.dcache.SwapReq.avgMshrMissLatency::cpu.data        64000                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.SwapReq.avgMshrMissLatency::total        64000                       # average SwapReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.hits::cpu.data          115                       # number of WriteLineReq hits (Count)
system.cpu.dcache.WriteLineReq.hits::total          115                       # number of WriteLineReq hits (Count)
system.cpu.dcache.WriteLineReq.misses::cpu.data          318                       # number of WriteLineReq misses (Count)
system.cpu.dcache.WriteLineReq.misses::total          318                       # number of WriteLineReq misses (Count)
system.cpu.dcache.WriteLineReq.missLatency::cpu.data      3679255                       # number of WriteLineReq miss ticks (Tick)
system.cpu.dcache.WriteLineReq.missLatency::total      3679255                       # number of WriteLineReq miss ticks (Tick)
system.cpu.dcache.WriteLineReq.accesses::cpu.data          433                       # number of WriteLineReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteLineReq.accesses::total          433                       # number of WriteLineReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteLineReq.missRate::cpu.data     0.734411                       # miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.missRate::total     0.734411                       # miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.avgMissLatency::cpu.data 11569.984277                       # average WriteLineReq miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.avgMissLatency::total 11569.984277                       # average WriteLineReq miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.mshrMisses::cpu.data          318                       # number of WriteLineReq MSHR misses (Count)
system.cpu.dcache.WriteLineReq.mshrMisses::total          318                       # number of WriteLineReq MSHR misses (Count)
system.cpu.dcache.WriteLineReq.mshrMissLatency::cpu.data      3361255                       # number of WriteLineReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteLineReq.mshrMissLatency::total      3361255                       # number of WriteLineReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteLineReq.mshrMissRate::cpu.data     0.734411                       # mshr miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.mshrMissRate::total     0.734411                       # mshr miss rate for WriteLineReq accesses (Ratio)
system.cpu.dcache.WriteLineReq.avgMshrMissLatency::cpu.data 10569.984277                       # average WriteLineReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteLineReq.avgMshrMissLatency::total 10569.984277                       # average WriteLineReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.hits::cpu.data    131752888                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.hits::total      131752888                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data         5856                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total         5856                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data    290944942                       # number of WriteReq miss ticks (Tick)
